Subject	Predicate	Object	Belief	Source size	Sources	Total source size	Mean belief of conflicting tuples	Belief difference	Conflicting tuple info	Validation	Match
sbcC	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('sbcC', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
secA	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('secA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
selD	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('selD', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
sohB	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('sohB', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
srfC	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('srfC', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
srmB	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('srmB', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
stdC	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('stdC', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
stfC	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('stfC', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
stfE	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('stfE', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
stiC	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('stiC', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
sucC	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('sucC', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
thiK	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('thiK', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
thrA	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('thrA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
thrB	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('thrB', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
thrS	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('thrS', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
torS	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('torS', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
trkH	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('trkH', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
trpS2	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('trpS2', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
truD	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('truD', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
tsf	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('tsf', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
vacJ	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('vacJ', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
valS	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('valS', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
wcaC	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('wcaC', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
wcaG	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('wcaG', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
wcaI	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('wcaI', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yacH	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yacH', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yafS	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yafS', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yafV	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yafV', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
ybaE	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('ybaE', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
ybbJ	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('ybbJ', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
ybdG	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('ybdG', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
ybgJ	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('ybgJ', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
ybiS	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('ybiS', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
ybjT	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('ybjT', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
ybjY	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('ybjY', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yccS	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yccS', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yceD	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yceD', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
ychM	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('ychM', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yciM	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yciM', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
ydbH	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('ydbH', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
ydcN	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('ydcN', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
ydcR	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('ydcR', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
ydjA	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('ydjA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yeaG	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yeaG', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yeaL	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yeaL', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yebB	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yebB', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yebK	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yebK', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yebS	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yebS', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yedI	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yedI', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yeeO	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yeeO', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yegE	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yegE', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yegU	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yegU', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yfbS	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yfbS', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yfbT	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yfbT', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yfiF	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yfiF', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
ygcH	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('ygcH', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
ygeA	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('ygeA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yggW	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yggW', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
ygiF	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('ygiF', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yhcG	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yhcG', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yhdP	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yhdP', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yicH	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yicH', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yicI	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yicI', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yicL	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yicL', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yidQ	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yidQ', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yigG	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yigG', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yiiM	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yiiM', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yiiR	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yiiR', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yjbF	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yjbF', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yjbH	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yjbH', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yjcD	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yjcD', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yjfP	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yjfP', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yjjI	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yjjI', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yohF	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yohF', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
ypfG	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('ypfG', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yqjD	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yqjD', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
yrbK	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('yrbK', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
ytfN	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('ytfN', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
ytgA	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('ytgA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
znuA	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('znuA', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
znuB	is mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('znuB', 'is not mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
tnpA1	is not regulated by antibiotic	Fosmidomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('tnpA1', 'is downregulated by antibiotic', 'Fosmidomycin'), ['Salm'], 0.25697938734080367)]		
