Subject	Predicate	Object	Belief	Source size	Sources	Total source size	Mean belief of conflicting tuples	Belief difference	Conflicting tuple info
rtcB	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('rtcB', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
safA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('safA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
sapF	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('sapF', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
sbcC	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('sbcC', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
secA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('secA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
selD	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('selD', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
sohB	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('sohB', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
srfC	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('srfC', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
srmB	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('srmB', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
stdC	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('stdC', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
stfC	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('stfC', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
stfE	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('stfE', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
stiC	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('stiC', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
sucC	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('sucC', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
thiK	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('thiK', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
thrA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('thrA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
thrB	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('thrB', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
thrS	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('thrS', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
torS	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('torS', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
trkH	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('trkH', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
trpS2	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('trpS2', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
truD	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('truD', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
tsf	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('tsf', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
vacJ	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('vacJ', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
valS	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('valS', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
wcaC	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('wcaC', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
wcaG	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('wcaG', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
wcaI	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('wcaI', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yacH	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yacH', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yafS	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yafS', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yafV	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yafV', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
ybaE	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('ybaE', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
ybbJ	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('ybbJ', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
ybdG	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('ybdG', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
ybgJ	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('ybgJ', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
ybiS	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('ybiS', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
ybjT	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('ybjT', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
ybjY	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('ybjY', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yccS	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yccS', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yceD	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yceD', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
ychM	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('ychM', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yciM	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yciM', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
ydbH	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('ydbH', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
ydcN	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('ydcN', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
ydcR	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('ydcR', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
ydjA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('ydjA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yeaG	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yeaG', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yeaL	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yeaL', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yebB	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yebB', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yebK	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yebK', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yebS	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yebS', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yedI	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yedI', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yeeO	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yeeO', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yegE	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yegE', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yegU	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yegU', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yfbS	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yfbS', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yfbT	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yfbT', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yfiF	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yfiF', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
ygcH	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('ygcH', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
ygeA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('ygeA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yggW	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yggW', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
ygiF	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('ygiF', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yhcG	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yhcG', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yhdP	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yhdP', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yicH	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yicH', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yicI	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yicI', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yicL	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yicL', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yidQ	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yidQ', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yigG	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yigG', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yiiM	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yiiM', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yiiR	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yiiR', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yjbF	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yjbF', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yjbH	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yjbH', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yjcD	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yjcD', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yjfP	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yjfP', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yjjI	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yjjI', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yohF	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yohF', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
ypfG	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('ypfG', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yqjD	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yqjD', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
yrbK	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('yrbK', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
ytfN	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('ytfN', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
ytgA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('ytgA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
znuA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('znuA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
znuB	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('znuB', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
tnpA1	is not regulated by antibiotic	Fosmidomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('tnpA1', 'is downregulated by antibiotic', 'Fosmidomycin'), ['Salm'], 0.25697938734080367)]
