Subject	Predicate	Object
STM2758	is not regulated by antibiotic	Chlorhexidine
STM2757	is not regulated by antibiotic	Chlorhexidine
STM2756	is not regulated by antibiotic	Chlorhexidine
STM2755	is not regulated by antibiotic	Chlorhexidine
STM2754	is not regulated by antibiotic	Chlorhexidine
STM2753	is not regulated by antibiotic	Chlorhexidine
STM2751	is not regulated by antibiotic	Chlorhexidine
STM2750	is not regulated by antibiotic	Chlorhexidine
STM2749	is not regulated by antibiotic	Chlorhexidine
STM2748	is not regulated by antibiotic	Chlorhexidine
STM2747	is not regulated by antibiotic	Chlorhexidine
STM2746	is not regulated by antibiotic	Chlorhexidine
STM2745	is not regulated by antibiotic	Chlorhexidine
STM2744	is not regulated by antibiotic	Chlorhexidine
STM2743	is not regulated by antibiotic	Chlorhexidine
STM2742	is not regulated by antibiotic	Chlorhexidine
STM2741	is not regulated by antibiotic	Chlorhexidine
STM2740	is not regulated by antibiotic	Chlorhexidine
STM2739	is not regulated by antibiotic	Chlorhexidine
STM2737	is not regulated by antibiotic	Chlorhexidine
STM2735	is not regulated by antibiotic	Chlorhexidine
STM2734	is not regulated by antibiotic	Chlorhexidine
STM2731	is not regulated by antibiotic	Chlorhexidine
STM2730	is not regulated by antibiotic	Chlorhexidine
STM2728	is not regulated by antibiotic	Chlorhexidine
STM2727	is not regulated by antibiotic	Chlorhexidine
STM2726	is not regulated by antibiotic	Chlorhexidine
STM2724	is not regulated by antibiotic	Chlorhexidine
STM2723	is not regulated by antibiotic	Chlorhexidine
STM2721	is not regulated by antibiotic	Chlorhexidine
STM2720	is not regulated by antibiotic	Chlorhexidine
STM2719	is not regulated by antibiotic	Chlorhexidine
STM2717	is not regulated by antibiotic	Chlorhexidine
STM2716	is not regulated by antibiotic	Chlorhexidine
STM2715	is not regulated by antibiotic	Chlorhexidine
STM2714	is not regulated by antibiotic	Chlorhexidine
STM2713	is not regulated by antibiotic	Chlorhexidine
STM2710	is not regulated by antibiotic	Chlorhexidine
STM2709	is not regulated by antibiotic	Chlorhexidine
STM2708	is not regulated by antibiotic	Chlorhexidine
STM2705	is not regulated by antibiotic	Chlorhexidine
STM2704	is not regulated by antibiotic	Chlorhexidine
STM2703	is not regulated by antibiotic	Chlorhexidine
STM2702	is not regulated by antibiotic	Chlorhexidine
STM2701	is not regulated by antibiotic	Chlorhexidine
STM2699	is not regulated by antibiotic	Chlorhexidine
STM2698	is not regulated by antibiotic	Chlorhexidine
STM2697	is not regulated by antibiotic	Chlorhexidine
STM2696	is not regulated by antibiotic	Chlorhexidine
STM2695	is not regulated by antibiotic	Chlorhexidine
STM2694	is not regulated by antibiotic	Chlorhexidine
STM2692	is not regulated by antibiotic	Chlorhexidine
STM2691	is not regulated by antibiotic	Chlorhexidine
STM2690	is not regulated by antibiotic	Chlorhexidine
STM2682	is not regulated by antibiotic	Chlorhexidine
STM2680	is not regulated by antibiotic	Chlorhexidine
STM2668	is not regulated by antibiotic	Chlorhexidine
STM2622	is not regulated by antibiotic	Chlorhexidine
STM2620	is not regulated by antibiotic	Chlorhexidine
STM2619	is not regulated by antibiotic	Chlorhexidine
STM2618	is not regulated by antibiotic	Chlorhexidine
STM2616	is not regulated by antibiotic	Chlorhexidine
STM2614	is not regulated by antibiotic	Chlorhexidine
STM2613	is not regulated by antibiotic	Chlorhexidine
STM2612	is not regulated by antibiotic	Chlorhexidine
STM2611	is not regulated by antibiotic	Chlorhexidine
STM2610	is not regulated by antibiotic	Chlorhexidine
STM2608	is not regulated by antibiotic	Chlorhexidine
STM2607	is not regulated by antibiotic	Chlorhexidine
STM2606	is not regulated by antibiotic	Chlorhexidine
STM2605	is not regulated by antibiotic	Chlorhexidine
STM2604	is not regulated by antibiotic	Chlorhexidine
STM2603	is not regulated by antibiotic	Chlorhexidine
STM2602	is not regulated by antibiotic	Chlorhexidine
STM2601	is not regulated by antibiotic	Chlorhexidine
STM2600	is not regulated by antibiotic	Chlorhexidine
STM2599	is not regulated by antibiotic	Chlorhexidine
STM2598	is not regulated by antibiotic	Chlorhexidine
STM2597	is not regulated by antibiotic	Chlorhexidine
STM2596	is not regulated by antibiotic	Chlorhexidine
STM2595	is not regulated by antibiotic	Chlorhexidine
STM2594	is not regulated by antibiotic	Chlorhexidine
STM2593	is not regulated by antibiotic	Chlorhexidine
STM2592	is not regulated by antibiotic	Chlorhexidine
STM2591	is not regulated by antibiotic	Chlorhexidine
STM2590	is not regulated by antibiotic	Chlorhexidine
STM2589	is not regulated by antibiotic	Chlorhexidine
STM2588	is not regulated by antibiotic	Chlorhexidine
STM2587	is not regulated by antibiotic	Chlorhexidine
STM2586	is not regulated by antibiotic	Chlorhexidine
STM2585a	is not regulated by antibiotic	Chlorhexidine
STM2585	is not regulated by antibiotic	Chlorhexidine
STM2575	is not regulated by antibiotic	Chlorhexidine
STM2574	is not regulated by antibiotic	Chlorhexidine
STM2573	is not regulated by antibiotic	Chlorhexidine
STM2570	is not regulated by antibiotic	Chlorhexidine
STM2566	is not regulated by antibiotic	Chlorhexidine
STM2552	is not regulated by antibiotic	Chlorhexidine
STM2551	is not regulated by antibiotic	Chlorhexidine
STM2534	is not regulated by antibiotic	Chlorhexidine
STM2532	is not regulated by antibiotic	Chlorhexidine
STM2530	is not regulated by antibiotic	Chlorhexidine
STM2529	is not regulated by antibiotic	Chlorhexidine
STM2528	is not regulated by antibiotic	Chlorhexidine
STM2527	is not regulated by antibiotic	Chlorhexidine
STM2509	is not regulated by antibiotic	Chlorhexidine
STM2508	is not regulated by antibiotic	Chlorhexidine
STM2507	is not regulated by antibiotic	Chlorhexidine
STM2506	is not regulated by antibiotic	Chlorhexidine
STM2505	is not regulated by antibiotic	Chlorhexidine
STM2504	is not regulated by antibiotic	Chlorhexidine
STM2503	is not regulated by antibiotic	Chlorhexidine
STM2492	is not regulated by antibiotic	Chlorhexidine
STM2486	is not regulated by antibiotic	Chlorhexidine
STM2447	is not regulated by antibiotic	Chlorhexidine
STM2434	is not regulated by antibiotic	Chlorhexidine
STM2426	is not regulated by antibiotic	Chlorhexidine
STM2406	is not regulated by antibiotic	Chlorhexidine
STM2377	is not regulated by antibiotic	Chlorhexidine
STM2376	is not regulated by antibiotic	Chlorhexidine
STM2375	is not regulated by antibiotic	Chlorhexidine
STM2374	is not regulated by antibiotic	Chlorhexidine
STM2361	is not regulated by antibiotic	Chlorhexidine
STM2359	is not regulated by antibiotic	Chlorhexidine
STM2358	is not regulated by antibiotic	Chlorhexidine
STM2357	is not regulated by antibiotic	Chlorhexidine
STM2345	is not regulated by antibiotic	Chlorhexidine
STM2344	is not regulated by antibiotic	Chlorhexidine
STM2342	is not regulated by antibiotic	Chlorhexidine
STM2341	is not regulated by antibiotic	Chlorhexidine
STM2340	is not regulated by antibiotic	Chlorhexidine
STM2314	is not regulated by antibiotic	Chlorhexidine
STM2293	is not regulated by antibiotic	Chlorhexidine
STM2288	is not regulated by antibiotic	Chlorhexidine
STM2281	is not regulated by antibiotic	Chlorhexidine
STM2275	is not regulated by antibiotic	Chlorhexidine
STM2274	is not regulated by antibiotic	Chlorhexidine
STM2273	is not regulated by antibiotic	Chlorhexidine
STM2243	is not regulated by antibiotic	Chlorhexidine
STM2242	is not regulated by antibiotic	Chlorhexidine
STM2239	is not regulated by antibiotic	Chlorhexidine
STM2238	is not regulated by antibiotic	Chlorhexidine
STM2237	is not regulated by antibiotic	Chlorhexidine
STM2236	is not regulated by antibiotic	Chlorhexidine
STM2235	is not regulated by antibiotic	Chlorhexidine
STM2234	is not regulated by antibiotic	Chlorhexidine
STM2233	is not regulated by antibiotic	Chlorhexidine
STM2231	is not regulated by antibiotic	Chlorhexidine
STM2230	is not regulated by antibiotic	Chlorhexidine
STM2225	is not regulated by antibiotic	Chlorhexidine
STM2208	is not regulated by antibiotic	Chlorhexidine
STM2198	is not regulated by antibiotic	Chlorhexidine
STM2197	is not regulated by antibiotic	Chlorhexidine
STM2195	is not regulated by antibiotic	Chlorhexidine
STM2178	is not regulated by antibiotic	Chlorhexidine
STM2176	is not regulated by antibiotic	Chlorhexidine
STM2175	is not regulated by antibiotic	Chlorhexidine
STM2156a	is not regulated by antibiotic	Chlorhexidine
STM2139	is not regulated by antibiotic	Chlorhexidine
STM2138	is not regulated by antibiotic	Chlorhexidine
STM2135	is not regulated by antibiotic	Chlorhexidine
STM2134	is not regulated by antibiotic	Chlorhexidine
STM2133	is not regulated by antibiotic	Chlorhexidine
STM2011	is not regulated by antibiotic	Chlorhexidine
STM2010	is not regulated by antibiotic	Chlorhexidine
STM2008	is not regulated by antibiotic	Chlorhexidine
STM2007	is not regulated by antibiotic	Chlorhexidine
STM2006	is not regulated by antibiotic	Chlorhexidine
STM2005	is not regulated by antibiotic	Chlorhexidine
STM1999	is not regulated by antibiotic	Chlorhexidine
STM1994	is not regulated by antibiotic	Chlorhexidine
STM1988	is not regulated by antibiotic	Chlorhexidine
STM1967	is not regulated by antibiotic	Chlorhexidine
STM1948	is not regulated by antibiotic	Chlorhexidine
STM1941	is not regulated by antibiotic	Chlorhexidine
STM1940	is not regulated by antibiotic	Chlorhexidine
STM1939	is not regulated by antibiotic	Chlorhexidine
STM1934	is not regulated by antibiotic	Chlorhexidine
STM1933	is not regulated by antibiotic	Chlorhexidine
STM1911	is not regulated by antibiotic	Chlorhexidine
STM1896	is not regulated by antibiotic	Chlorhexidine
STM1877	is not regulated by antibiotic	Chlorhexidine
STM1874	is not regulated by antibiotic	Chlorhexidine
STM1873	is not regulated by antibiotic	Chlorhexidine
STM1872	is not regulated by antibiotic	Chlorhexidine
STM1871	is not regulated by antibiotic	Chlorhexidine
STM1870	is not regulated by antibiotic	Chlorhexidine
STM1869a	is not regulated by antibiotic	Chlorhexidine
STM1868a	is not regulated by antibiotic	Chlorhexidine
STM1864	is not regulated by antibiotic	Chlorhexidine
STM1859	is not regulated by antibiotic	Chlorhexidine
STM1858	is not regulated by antibiotic	Chlorhexidine
STM1857	is not regulated by antibiotic	Chlorhexidine
STM1856	is not regulated by antibiotic	Chlorhexidine
STM1854	is not regulated by antibiotic	Chlorhexidine
STM1851	is not regulated by antibiotic	Chlorhexidine
STM1849	is not regulated by antibiotic	Chlorhexidine
STM1843	is not regulated by antibiotic	Chlorhexidine
STM1829	is not regulated by antibiotic	Chlorhexidine
STM1827	is not regulated by antibiotic	Chlorhexidine
STM1808	is not regulated by antibiotic	Chlorhexidine
STM1795	is not regulated by antibiotic	Chlorhexidine
STM1794	is not regulated by antibiotic	Chlorhexidine
STM1793	is not regulated by antibiotic	Chlorhexidine
STM1792	is not regulated by antibiotic	Chlorhexidine
STM1790	is not regulated by antibiotic	Chlorhexidine
STM1788	is not regulated by antibiotic	Chlorhexidine
STM1787	is not regulated by antibiotic	Chlorhexidine
STM1786	is not regulated by antibiotic	Chlorhexidine
STM1785	is not regulated by antibiotic	Chlorhexidine
STM1760	is not regulated by antibiotic	Chlorhexidine
STM1747	is not regulated by antibiotic	Chlorhexidine
STM1741	is not regulated by antibiotic	Chlorhexidine
STM1698a	is not regulated by antibiotic	Chlorhexidine
STM1697	is not regulated by antibiotic	Chlorhexidine
STM1677	is not regulated by antibiotic	Chlorhexidine
STM1676	is not regulated by antibiotic	Chlorhexidine
STM1675	is not regulated by antibiotic	Chlorhexidine
STM1674	is not regulated by antibiotic	Chlorhexidine
STM1673	is not regulated by antibiotic	Chlorhexidine
STM1672	is not regulated by antibiotic	Chlorhexidine
STM1671	is not regulated by antibiotic	Chlorhexidine
STM1670	is not regulated by antibiotic	Chlorhexidine
STM1669	is not regulated by antibiotic	Chlorhexidine
STM1668	is not regulated by antibiotic	Chlorhexidine
STM1667	is not regulated by antibiotic	Chlorhexidine
STM1665	is not regulated by antibiotic	Chlorhexidine
STM1664	is not regulated by antibiotic	Chlorhexidine
STM1657	is not regulated by antibiotic	Chlorhexidine
STM1650	is not regulated by antibiotic	Chlorhexidine
STM1643	is not regulated by antibiotic	Chlorhexidine
STM1638	is not regulated by antibiotic	Chlorhexidine
STM1637	is not regulated by antibiotic	Chlorhexidine
STM1636	is not regulated by antibiotic	Chlorhexidine
STM1635	is not regulated by antibiotic	Chlorhexidine
STM1634	is not regulated by antibiotic	Chlorhexidine
STM1633	is not regulated by antibiotic	Chlorhexidine
STM1632	is not regulated by antibiotic	Chlorhexidine
STM1630	is not regulated by antibiotic	Chlorhexidine
STM1628	is not regulated by antibiotic	Chlorhexidine
STM1627	is not regulated by antibiotic	Chlorhexidine
STM1624	is not regulated by antibiotic	Chlorhexidine
STM1623	is not regulated by antibiotic	Chlorhexidine
STM1621	is not regulated by antibiotic	Chlorhexidine
STM1620	is not regulated by antibiotic	Chlorhexidine
STM1619	is not regulated by antibiotic	Chlorhexidine
STM1617	is not regulated by antibiotic	Chlorhexidine
STM1615	is not regulated by antibiotic	Chlorhexidine
STM1614	is not regulated by antibiotic	Chlorhexidine
STM1607	is not regulated by antibiotic	Chlorhexidine
STM1606	is not regulated by antibiotic	Chlorhexidine
STM1575	is not regulated by antibiotic	Chlorhexidine
STM1573	is not regulated by antibiotic	Chlorhexidine
STM1559	is not regulated by antibiotic	Chlorhexidine
STM1558	is not regulated by antibiotic	Chlorhexidine
STM1557	is not regulated by antibiotic	Chlorhexidine
STM1556	is not regulated by antibiotic	Chlorhexidine
STM1555	is not regulated by antibiotic	Chlorhexidine
STM1554	is not regulated by antibiotic	Chlorhexidine
STM1552	is not regulated by antibiotic	Chlorhexidine
STM1550	is not regulated by antibiotic	Chlorhexidine
STM1548	is not regulated by antibiotic	Chlorhexidine
STM1545	is not regulated by antibiotic	Chlorhexidine
STM1543	is not regulated by antibiotic	Chlorhexidine
STM1542	is not regulated by antibiotic	Chlorhexidine
STM1540	is not regulated by antibiotic	Chlorhexidine
STM1539	is not regulated by antibiotic	Chlorhexidine
STM1538	is not regulated by antibiotic	Chlorhexidine
STM1537	is not regulated by antibiotic	Chlorhexidine
STM1536	is not regulated by antibiotic	Chlorhexidine
STM1535	is not regulated by antibiotic	Chlorhexidine
STM1533	is not regulated by antibiotic	Chlorhexidine
STM1532	is not regulated by antibiotic	Chlorhexidine
STM1530	is not regulated by antibiotic	Chlorhexidine
STM1529	is not regulated by antibiotic	Chlorhexidine
STM1528	is not regulated by antibiotic	Chlorhexidine
STM1499	is not regulated by antibiotic	Chlorhexidine
STM1498	is not regulated by antibiotic	Chlorhexidine
STM1497	is not regulated by antibiotic	Chlorhexidine
STM1496	is not regulated by antibiotic	Chlorhexidine
STM1472	is not regulated by antibiotic	Chlorhexidine
STM1368	is not regulated by antibiotic	Chlorhexidine
STM1331	is not regulated by antibiotic	Chlorhexidine
STM1330	is not regulated by antibiotic	Chlorhexidine
STM1329	is not regulated by antibiotic	Chlorhexidine
STM1328	is not regulated by antibiotic	Chlorhexidine
STM1301	is not regulated by antibiotic	Chlorhexidine
STM1300	is not regulated by antibiotic	Chlorhexidine
STM1288	is not regulated by antibiotic	Chlorhexidine
STM1287	is not regulated by antibiotic	Chlorhexidine
STM1276	is not regulated by antibiotic	Chlorhexidine
STM1273	is not regulated by antibiotic	Chlorhexidine
STM1268	is not regulated by antibiotic	Chlorhexidine
STM1267	is not regulated by antibiotic	Chlorhexidine
STM1265	is not regulated by antibiotic	Chlorhexidine
STM1263	is not regulated by antibiotic	Chlorhexidine
STM1261	is not regulated by antibiotic	Chlorhexidine
STM1256	is not regulated by antibiotic	Chlorhexidine
STM1255	is not regulated by antibiotic	Chlorhexidine
STM1253	is not regulated by antibiotic	Chlorhexidine
STM1252	is not regulated by antibiotic	Chlorhexidine
STM1251	is not regulated by antibiotic	Chlorhexidine
STM1250	is not regulated by antibiotic	Chlorhexidine
STM1249	is not regulated by antibiotic	Chlorhexidine
STM1239	is not regulated by antibiotic	Chlorhexidine
STM1236	is not regulated by antibiotic	Chlorhexidine
STM1228	is not regulated by antibiotic	Chlorhexidine
STM1188	is not regulated by antibiotic	Chlorhexidine
STM1158	is not regulated by antibiotic	Chlorhexidine
STM1133	is not regulated by antibiotic	Chlorhexidine
STM1132	is not regulated by antibiotic	Chlorhexidine
STM1131	is not regulated by antibiotic	Chlorhexidine
STM1128	is not regulated by antibiotic	Chlorhexidine
STM1127	is not regulated by antibiotic	Chlorhexidine
STM1119	is not regulated by antibiotic	Chlorhexidine
STM1109	is not regulated by antibiotic	Chlorhexidine
STM1093	is not regulated by antibiotic	Chlorhexidine
STM1089	is not regulated by antibiotic	Chlorhexidine
STM1082	is not regulated by antibiotic	Chlorhexidine
STM1060	is not regulated by antibiotic	Chlorhexidine
STM1054	is not regulated by antibiotic	Chlorhexidine
STM1050	is not regulated by antibiotic	Chlorhexidine
STM1049	is not regulated by antibiotic	Chlorhexidine
STM1048	is not regulated by antibiotic	Chlorhexidine
STM1047	is not regulated by antibiotic	Chlorhexidine
STM1046	is not regulated by antibiotic	Chlorhexidine
STM1043	is not regulated by antibiotic	Chlorhexidine
STM1041	is not regulated by antibiotic	Chlorhexidine
STM1040	is not regulated by antibiotic	Chlorhexidine
STM1039	is not regulated by antibiotic	Chlorhexidine
STM1038	is not regulated by antibiotic	Chlorhexidine
STM1036	is not regulated by antibiotic	Chlorhexidine
STM1035	is not regulated by antibiotic	Chlorhexidine
STM1034	is not regulated by antibiotic	Chlorhexidine
STM1033	is not regulated by antibiotic	Chlorhexidine
STM1032	is not regulated by antibiotic	Chlorhexidine
STM1031	is not regulated by antibiotic	Chlorhexidine
STM1030	is not regulated by antibiotic	Chlorhexidine
STM1029	is not regulated by antibiotic	Chlorhexidine
STM1028	is not regulated by antibiotic	Chlorhexidine
STM1027	is not regulated by antibiotic	Chlorhexidine
STM1026	is not regulated by antibiotic	Chlorhexidine
STM1025	is not regulated by antibiotic	Chlorhexidine
STM1023	is not regulated by antibiotic	Chlorhexidine
STM1022	is not regulated by antibiotic	Chlorhexidine
STM1021	is not regulated by antibiotic	Chlorhexidine
STM1020	is not regulated by antibiotic	Chlorhexidine
STM1011	is not regulated by antibiotic	Chlorhexidine
STM1010	is not regulated by antibiotic	Chlorhexidine
STM1008	is not regulated by antibiotic	Chlorhexidine
STM1005	is not regulated by antibiotic	Chlorhexidine
STM1003	is not regulated by antibiotic	Chlorhexidine
STM1001	is not regulated by antibiotic	Chlorhexidine
STM0989	is not regulated by antibiotic	Chlorhexidine
STM0971	is not regulated by antibiotic	Chlorhexidine
STM0954	is not regulated by antibiotic	Chlorhexidine
STM0951	is not regulated by antibiotic	Chlorhexidine
STM0950	is not regulated by antibiotic	Chlorhexidine
STM0948	is not regulated by antibiotic	Chlorhexidine
STM0947	is not regulated by antibiotic	Chlorhexidine
STM0929	is not regulated by antibiotic	Chlorhexidine
STM0926	is not regulated by antibiotic	Chlorhexidine
STM0925	is not regulated by antibiotic	Chlorhexidine
STM0924	is not regulated by antibiotic	Chlorhexidine
STM0923	is not regulated by antibiotic	Chlorhexidine
STM0922	is not regulated by antibiotic	Chlorhexidine
STM0921	is not regulated by antibiotic	Chlorhexidine
STM0920	is not regulated by antibiotic	Chlorhexidine
STM0919	is not regulated by antibiotic	Chlorhexidine
STM0918	is not regulated by antibiotic	Chlorhexidine
STM0917	is not regulated by antibiotic	Chlorhexidine
STM0916	is not regulated by antibiotic	Chlorhexidine
STM0915	is not regulated by antibiotic	Chlorhexidine
STM0914	is not regulated by antibiotic	Chlorhexidine
STM0913	is not regulated by antibiotic	Chlorhexidine
STM0912	is not regulated by antibiotic	Chlorhexidine
STM0911	is not regulated by antibiotic	Chlorhexidine
STM0910	is not regulated by antibiotic	Chlorhexidine
STM0909	is not regulated by antibiotic	Chlorhexidine
STM0908	is not regulated by antibiotic	Chlorhexidine
STM0907	is not regulated by antibiotic	Chlorhexidine
STM0906	is not regulated by antibiotic	Chlorhexidine
STM0905	is not regulated by antibiotic	Chlorhexidine
STM0904	is not regulated by antibiotic	Chlorhexidine
STM0903	is not regulated by antibiotic	Chlorhexidine
STM0902	is not regulated by antibiotic	Chlorhexidine
STM0901	is not regulated by antibiotic	Chlorhexidine
STM0900	is not regulated by antibiotic	Chlorhexidine
STM0899	is not regulated by antibiotic	Chlorhexidine
STM0898a	is not regulated by antibiotic	Chlorhexidine
STM0898	is not regulated by antibiotic	Chlorhexidine
STM0897	is not regulated by antibiotic	Chlorhexidine
STM0896	is not regulated by antibiotic	Chlorhexidine
STM0895	is not regulated by antibiotic	Chlorhexidine
STM0894	is not regulated by antibiotic	Chlorhexidine
STM0893	is not regulated by antibiotic	Chlorhexidine
STM0886	is not regulated by antibiotic	Chlorhexidine
STM0884	is not regulated by antibiotic	Chlorhexidine
STM0869	is not regulated by antibiotic	Chlorhexidine
STM0868	is not regulated by antibiotic	Chlorhexidine
STM0867	is not regulated by antibiotic	Chlorhexidine
STM0860	is not regulated by antibiotic	Chlorhexidine
STM0859	is not regulated by antibiotic	Chlorhexidine
STM0858	is not regulated by antibiotic	Chlorhexidine
STM0857	is not regulated by antibiotic	Chlorhexidine
STM0856	is not regulated by antibiotic	Chlorhexidine
STM0855	is not regulated by antibiotic	Chlorhexidine
STM0854	is not regulated by antibiotic	Chlorhexidine
STM0839	is not regulated by antibiotic	Chlorhexidine
STM0810	is not regulated by antibiotic	Chlorhexidine
STM0809	is not regulated by antibiotic	Chlorhexidine
STM0799	is not regulated by antibiotic	Chlorhexidine
STM0777	is not regulated by antibiotic	Chlorhexidine
STM0771	is not regulated by antibiotic	Chlorhexidine
STM0770	is not regulated by antibiotic	Chlorhexidine
STM0769	is not regulated by antibiotic	Chlorhexidine
STM0765	is not regulated by antibiotic	Chlorhexidine
STM0764	is not regulated by antibiotic	Chlorhexidine
STM0763	is not regulated by antibiotic	Chlorhexidine
STM0762	is not regulated by antibiotic	Chlorhexidine
STM0761	is not regulated by antibiotic	Chlorhexidine
STM0731	is not regulated by antibiotic	Chlorhexidine
STM0727	is not regulated by antibiotic	Chlorhexidine
STM0725	is not regulated by antibiotic	Chlorhexidine
STM0724	is not regulated by antibiotic	Chlorhexidine
STM0723	is not regulated by antibiotic	Chlorhexidine
STM0722	is not regulated by antibiotic	Chlorhexidine
STM0720	is not regulated by antibiotic	Chlorhexidine
STM0719	is not regulated by antibiotic	Chlorhexidine
STM0717	is not regulated by antibiotic	Chlorhexidine
STM0707	is not regulated by antibiotic	Chlorhexidine
STM0699	is not regulated by antibiotic	Chlorhexidine
STM0692	is not regulated by antibiotic	Chlorhexidine
STM0691	is not regulated by antibiotic	Chlorhexidine
STM0672	is not regulated by antibiotic	Chlorhexidine
STM0660	is not regulated by antibiotic	Chlorhexidine
STM0652	is not regulated by antibiotic	Chlorhexidine
STM0650	is not regulated by antibiotic	Chlorhexidine
STM0613	is not regulated by antibiotic	Chlorhexidine
STM0612	is not regulated by antibiotic	Chlorhexidine
STM0611	is not regulated by antibiotic	Chlorhexidine
STM0610	is not regulated by antibiotic	Chlorhexidine
STM0580	is not regulated by antibiotic	Chlorhexidine
STM0577	is not regulated by antibiotic	Chlorhexidine
STM0576	is not regulated by antibiotic	Chlorhexidine
STM0575	is not regulated by antibiotic	Chlorhexidine
STM0574	is not regulated by antibiotic	Chlorhexidine
STM0573	is not regulated by antibiotic	Chlorhexidine
STM0572	is not regulated by antibiotic	Chlorhexidine
STM0571	is not regulated by antibiotic	Chlorhexidine
STM0567	is not regulated by antibiotic	Chlorhexidine
STM0566	is not regulated by antibiotic	Chlorhexidine
STM0564	is not regulated by antibiotic	Chlorhexidine
STM0563	is not regulated by antibiotic	Chlorhexidine
STM0561	is not regulated by antibiotic	Chlorhexidine
STM0557	is not regulated by antibiotic	Chlorhexidine
STM0556	is not regulated by antibiotic	Chlorhexidine
STM0554	is not regulated by antibiotic	Chlorhexidine
STM0551	is not regulated by antibiotic	Chlorhexidine
STM0539	is not regulated by antibiotic	Chlorhexidine
STM0538	is not regulated by antibiotic	Chlorhexidine
STM0520	is not regulated by antibiotic	Chlorhexidine
STM0497	is not regulated by antibiotic	Chlorhexidine
STM0479	is not regulated by antibiotic	Chlorhexidine
STM0458	is not regulated by antibiotic	Chlorhexidine
STM0438	is not regulated by antibiotic	Chlorhexidine
STM0437	is not regulated by antibiotic	Chlorhexidine
STM0436a	is not regulated by antibiotic	Chlorhexidine
STM0382	is not regulated by antibiotic	Chlorhexidine
STM0381	is not regulated by antibiotic	Chlorhexidine
STM0363	is not regulated by antibiotic	Chlorhexidine
STM0362	is not regulated by antibiotic	Chlorhexidine
STM0361	is not regulated by antibiotic	Chlorhexidine
STM0360	is not regulated by antibiotic	Chlorhexidine
STM0356	is not regulated by antibiotic	Chlorhexidine
STM0355	is not regulated by antibiotic	Chlorhexidine
STM0354	is not regulated by antibiotic	Chlorhexidine
STM0353	is not regulated by antibiotic	Chlorhexidine
STM0352	is not regulated by antibiotic	Chlorhexidine
STM0351	is not regulated by antibiotic	Chlorhexidine
STM0350	is not regulated by antibiotic	Chlorhexidine
STM0348	is not regulated by antibiotic	Chlorhexidine
STM0346	is not regulated by antibiotic	Chlorhexidine
STM0344	is not regulated by antibiotic	Chlorhexidine
STM0343	is not regulated by antibiotic	Chlorhexidine
STM0342	is not regulated by antibiotic	Chlorhexidine
STM0341	is not regulated by antibiotic	Chlorhexidine
STM0334	is not regulated by antibiotic	Chlorhexidine
STM0333	is not regulated by antibiotic	Chlorhexidine
STM0332	is not regulated by antibiotic	Chlorhexidine
STM0331	is not regulated by antibiotic	Chlorhexidine
STM0328	is not regulated by antibiotic	Chlorhexidine
STM0327	is not regulated by antibiotic	Chlorhexidine
STM0325	is not regulated by antibiotic	Chlorhexidine
STM0324	is not regulated by antibiotic	Chlorhexidine
STM0305	is not regulated by antibiotic	Chlorhexidine
STM0298	is not regulated by antibiotic	Chlorhexidine
STM0297	is not regulated by antibiotic	Chlorhexidine
STM0296	is not regulated by antibiotic	Chlorhexidine
STM0295	is not regulated by antibiotic	Chlorhexidine
STM0292	is not regulated by antibiotic	Chlorhexidine
STM0291	is not regulated by antibiotic	Chlorhexidine
STM0289	is not regulated by antibiotic	Chlorhexidine
STM0285	is not regulated by antibiotic	Chlorhexidine
STM0284	is not regulated by antibiotic	Chlorhexidine
STM0280	is not regulated by antibiotic	Chlorhexidine
STM0278	is not regulated by antibiotic	Chlorhexidine
STM0275	is not regulated by antibiotic	Chlorhexidine
STM0270	is not regulated by antibiotic	Chlorhexidine
STM0268	is not regulated by antibiotic	Chlorhexidine
STM0267	is not regulated by antibiotic	Chlorhexidine
STM0257	is not regulated by antibiotic	Chlorhexidine
STM0233	is not regulated by antibiotic	Chlorhexidine
STM0212	is not regulated by antibiotic	Chlorhexidine
STM0159	is not regulated by antibiotic	Chlorhexidine
STM0100	is not regulated by antibiotic	Chlorhexidine
STM0099	is not regulated by antibiotic	Chlorhexidine
STM0098	is not regulated by antibiotic	Chlorhexidine
STM0084	is not regulated by antibiotic	Chlorhexidine
STM0083	is not regulated by antibiotic	Chlorhexidine
STM0081	is not regulated by antibiotic	Chlorhexidine
STM0065	is not regulated by antibiotic	Chlorhexidine
STM0053	is not regulated by antibiotic	Chlorhexidine
STM0052	is not regulated by antibiotic	Chlorhexidine
STM0050	is not regulated by antibiotic	Chlorhexidine
STM0042	is not regulated by antibiotic	Chlorhexidine
STM0041	is not regulated by antibiotic	Chlorhexidine
STM0038	is not regulated by antibiotic	Chlorhexidine
STM0037	is not regulated by antibiotic	Chlorhexidine
STM0036	is not regulated by antibiotic	Chlorhexidine
STM0035	is not regulated by antibiotic	Chlorhexidine
STM0034	is not regulated by antibiotic	Chlorhexidine
STM0032	is not regulated by antibiotic	Chlorhexidine
STM0031	is not regulated by antibiotic	Chlorhexidine
STM0030	is not regulated by antibiotic	Chlorhexidine
STM0029	is not regulated by antibiotic	Chlorhexidine
STM0020	is not regulated by antibiotic	Chlorhexidine
