Source	Target
A0A701P4U7	
A0A636B3J3	
A0A5Y4V9K0	
A0A5Y4V8M0	
A0A3Z1V2Z6	
A0A701P4V7	
A0A707V4Y0	
A0A1P8DN29	
A0A753F7F5	
A0A701JWY5	
A0A3W0MHA1	
A0A5W7P598	
A0A702APA3	
A0A707XI64	
A0A704VVH3	
A0A706K1Q6	
A0A708E5B8	
A0A708A6N6	
A0A4U8KZK1	
A0A5V8YBJ3	
A0A639MR36	
A0A3Z5U9A2	
A0A5W1J998	
A0A8A8T2S6	
A0A735MPY4	
A0A3V6RML3	
A0A701XEA6	
A0A3Z5SZ60	
A0A714I1Q4	
A0A1P8VUC1	
A0A708C1Z0	
A0A5T4B0F8	
A0A5Z6IY82	
A0A5V7SCH2	
A0A8A8SJR8	
A0A3W0MPF3	
A0A707N404	
A0A3Y1BFM2	
A0A5W8WDU1	
A0A708AE88	
A0A5W9DFD9	
A0A701J1S5	
A0A3R1D562	
A0A0A7D0P9	
A0A5Y0LN44	
A0A611W8H1	
A0A609RV44	
A0A5X4HNQ4	
A0A709F8E2	
A0A768D6Z4	
A0A708AG68	
A0A701K0G1	
A0A707EUE0	
A0A3V9J429	
A0A710TQ97	
A0A730WUI0	
A0A3Z9BZT3	
A0A614PXH8	
A0A444A2C9	
A0A3Y3F9J6	
A0A735MK28	
A0A701LK84	
A0A707RDW7	
A0A6Y1KR30	
A0A5Y4V5P8	
A0A701K363	
A0A710DI61	
A0A5Y4V793	
A0A5Y4VFW6	
A0A5W4YDH6	
A0A726C973	
A0A5Z6M9K4	
A0A701KAI1	
A0A714EKC8	
A0A611PQT9	
A0A5W7F1A4	
A0A887WS40	
A0A630MNN9	
A0A3V2HUL7	
A0A6Y4QBP3	
A0A6Y2P228	
A0A701NZ60	
A0A3Z3Y6H2	
A0A706AKR2	
A0A5Z9X6F7	
A0A3Z7JI60	
A0A5V8QZZ1	
A0A5Y4V7A1	
A0A610K027	
A0A3U0CTH6	
A0A708CTC0	
A0A736UWX4	
A0A730WPS4	
A0A631BAY4	
A0A5W7HVI6	
A0A708E0S0	
A0A701ZP74	
A0A708TMI9	
A0A635CEH4	
A0A709HR29	
A0A3Z7WMS7	
A0A5W4TAL9	
A0A701P4F9	
A0A605QFC2	
A0A707PS99	
A0A3U0CGP0	
A0A767S4V7	
B3GPL4	
A0A5W7DNE9	
A0A736PYU0	
A0A707XLI0	
A0A5V7SJ68	
A0A701T9J0	
A0A706ZIB2	
A0A3W0MNS4	
A0A705ZZV6	
A0A701P8B8	
A0A621RWT5	
A0A706V227	
A0A5W7DH90	
A0A077W6K3	
A0A601Z3Y8	
A0A5X9H9W9	
A0A706QCR5	
A0A3Y4SPW8	
A0A701T5I0	
A0A611VDH6	
A0A708E2V8	
A0A607JP85	
A0A707L4W0	
A0A621ERJ0	
A0A632SPI9	
A0A636ZXA4	
A0A3Y1BFW4	
A0A701K9J1	
A0A717R1R9	
A0A5W6Z612	
A0A4P3HAL5	
A0A3Y8I636	
A0A635Q6J8	
A0A611Q3B1	
A0A5W7WUY1	
A0A701W8L8	
A0A3Z5UIM8	
A0A564XPZ9	
A0A701Q4Y7	
A0A731WMD6	
A0A701P0Y9	
A0A5Y4VE86	
A0A5Y4V934	
A0A633ZPH8	
A0A5X9HUR8	
A0A3Y1BRI5	
A0A629G007	
A0A701K0K9	
A0A5Z7WW97	
A0A701IZ84	
A0A767UHV4	
A0A715V9L0	
A0A701E3G0	
A0A3Z1VCM1	
A0A736Q4D3	
A0A634WYJ6	
A0A736Q0R3	
A0A3Z1V9T7	
A0A5Y4VI88	
A0A611Q4Q3	
A0A5Z6DEE3	
A0A5Y4VDA5	
A0A631L019	
A0A706LGV6	
A0A701P1U0	
A0A708AKR5	
A0A5W9RRZ8	
A0A5X8F0Z2	
A0A5Y4VDA3	
A0A701KB88	
A0A0H3VVN3	
A0A706AEH5	
A0A0G3B7E7	
A0A5X8F4A7	
A0A0P0CA29	
A0A5X0IN28	
A0A715XWI1	
A0A3Y4SMH5	
A0A701PSL7	
A0A648F2Y1	
A0A708E0S6	
A0A708TK18	
A0A612PIG8	
A0A5Y6Z6Q5	
A0A603M7W5	
A0A636Z600	
A0A740M9T9	
A0A736Q3U9	
A0A701X7C3	
A0A708PA37	
A0A707X7P0	
A0A735MJ79	
A0A708DHP5	
A0A732MF47	
A0A3Z1V468	
A0A701NNN4	
A0A5Y4VCU5	
A0A708ABF5	
A0A707WMD0	
A0A611L9D4	
A0A3V2KLR8	
A0A708E4R6	
A0A710VYP2	
A0A3Y1BNJ8	
A0A708KEF7	
A0A385JKY4	
A0A708DYT0	
A0A3Y3SU68	
A0A624BHG4	
A0A708DGB3	
A0A714I2S2	
A0A5W8XJA7	
A0A736PXD8	
A0A708PDA2	
A0A741C103	
A0A701P4F1	
A0A707P9K2	
A0A605QKC2	
A0A730X0M9	
A0A708E3S0	
A0A6Y4C783	
A0A5Y4VE14	
A0A701P0Z4	
A0A767X9I3	
A0A5Z8AS00	
A0A5X8EZ49	
A0A5Y4VGT6	
A0A5W8K6A9	
A0A3Z1VAB7	
A0A707EVH2	
A0A701K3M6	
A0A767X8W9	
A0A626E4W2	
A0A707XEB1	
A0A708VMZ0	
A0A709JLG6	
A0A706KLB6	
A0A701K242	
A0A5W7DFQ7	
A0A3V4GKT0	
A0A634QUU9	
A0A706UKB9	
A0A3U0CN70	
A0A611V462	
A0A734JNB4	
A0A701K659	
A0A5Y0RAS3	
A0A701K6A7	
A0A3U3FN18	
A0A3Y9J0F3	
A0A611LB66	
A0A638KT50	
A0A701K2Z6	
A0A706XQP5	
A0A5Z8AE94	
A0A706KHL2	
A0A752DQM9	
A0A767TYC5	
A0A5Y4V8Q9	
A0A3Y3ST63	
A0A0G3B237	
A0A701K157	
A0A707RNH1	
A0A701P935	
A0A5Y4V7I5	
A0A622HCT0	
A0A3Z5SY99	
A0A5Y4V9E6	
A0A707F3R4	
A0A701P354	
A0A707VVE9	
A0A708E490	
A0A731VYV5	
A0A648F4A6	
A0A5X9GJ80	
A0A604VZR4	
A0A5Y4VEU5	
A0A701X2F6	
A0A708BSN5	
A0A5X7MT45	
A0A3V4WZF8	
A0A5Y4VEC7	
A0A707UBE5	
A0A701LKT1	
A0A708AF61	
A0A701J3E1	
A0A706ERZ1	
A0A3Z1VA89	
A0A708RDL8	
A0A708PFK9	
A0A736PZD1	
A0A5X9HAK2	
A0A736V1M1	
A0A3V6A6Z4	
A0A601Z1J1	
A0A3Z1V1W5	
A0A714I5E5	
A0A708TMB2	
A0A708EDR7	
A0A740SR69	
A0A708G447	
A0A5W8DYC1	
A0A714HAU5	
A0A5Z6TQ36	
A0A6Y3MGF9	
A0A5Y4V8E9	
A0A737T015	
A0A6Y3MAG6	
A0A731Z743	
A0A736UPK4	
A0A636Z635	
A0A5Y4VH58	
A0A3Z7WL48	
A0A714CEQ6	
A0A5Y4VH67	
G9CAI8	
A0A6Y2TD07	
A0A5X1RNW7	
A0A3X9WDW8	
A0A708DG32	
A0A5W2GWI2	
A0A701KCQ2	
A0A648F3D5	
A0A5Y4VEC6	
Q2MCU9	
A0A701JZK7	
A0A456A0I6	
A0A767XKD5	
A0A709F8N3	
A0A5Y4V923	
A0A767X9D5	
A0A707YIG8	
A0A5Z7WVS0	
A0A701P2P7	
A0A634W4N4	
A0A736PZS0	
A0A620WC89	
A0A627UMA5	
A0A5X6AI35	
A0A708ABW0	
A0A5W4SWP7	
A0A5Y4VD31	
A0A717KMY8	
A0A708E569	
A0A707DC63	
A0A5W0A2Q4	
A0A708BTF7	
A0A707XHM7	
A0A730ZYF2	
A0A5Y4VAT8	
A0A5W4VPZ9	
A0A5V6UU91	
A0A3V5ZZE9	
A0A611NGN9	
A0A701P201	
A0A627UL91	
A0A635UCV9	
A0A0H3VVZ1	
A0A484YJC0	
A0A3Z1V921	
A0A701P555	
A0A612PUG4	
A0A5W1FYF0	
A0A3W0MQ00	
A0A3Y4XEM7	
A0A5W7PB80	
A0A708AID7	
A0A5X8F2G5	
A0A3T9YYV2	
A0A5W9S4Z4	
A0A701P525	
A0A701MS80	
A0A3Z6KM74	
A0A5H3WBC7	
A0A767XAK7	
A0A730RBG7	
A0A626E657	
A0A708AH43	
A0A611VD91	
A0A714ESN4	
A0A3Y3SUV0	
A0A077W2X2	
A0A3Z7WKW6	
A0A708D6K7	
A0A712UA20	
A0A3Z1VB44	
X4YBR0	
A0A636ZG64	
A0A3Z6KEG8	
A0A707Y586	
A0A5W4SRS8	
A0A709RVJ4	
A0A627GVB0	
A0A5Z5YTN5	
A0A5Y4V8U9	
A0A603G3F7	
A0A706ZJU4	
A0A727MKZ0	
A0A707JYJ7	
A0A701P0Y5	
A0A3T5ACS1	
A0A5Y4VH14	
A0A709SSG4	
A0A5W7P8U9	
A0A713PPW5	
A0A706P3K7	
A0A3Z7WMU6	
A0A708E209	
A0A738DI85	
A0A606FWX8	
A0A710IEQ4	
A0A751K2I9	
A0A5Z8AHM6	
A0A3Z1VDR1	
A0A708ABJ7	
A0A3Y4XCY9	
A0A5W3SQ14	
A0A707PSW5	
A0A3V6H0I5	
A0A603QBG4	
A0A729PQV6	
A0A734G381	
A0A6Y2TDY1	
A0A707HBB5	
A0A5H3W4E2	
A0A701H5U6	
A0A741MG01	
A0A730ZT66	
A0A385JKQ1	
A0A701K838	
A0A709AQH2	
A0A614PWW6	
A0A701P6J4	
A0A5Y4VC97	
A0A5X0VR08	
A0A736Q2N2	
A0A5Z5YSK8	
A0A709PMS5	
A0A707XL40	
A0A5Z8AED8	
A0A638HII9	
A0A731GCB9	
A0A632VH34	
A0A611CRL9	
A0A5Y8EQV8	
A0A728B3X5	
A0A611BIH9	
A0A712GB30	
A0A605QVV4	
A0A712ED62	
A0A6Y4C780	
A0A710FV43	
A0A6Y3QJ61	
A0A701P6P8	
A0A606G045	
A0A5W9U6Y4	
A0A5Y0YS74	
A0A730MXM5	
V9SHU0	
A0A710ECT7	
A0A706GLG4	
A0A620W3M3	
A0A708A5M8	
A0A5W4YW32	
A0A727MUU5	
A0A707TM02	
A0A631ZLH2	
A0A709GMK5	
A0A3Z7WG07	
A0A708AEZ3	
A0A5X0JBY8	
A0A611BAN6	
A0A707JVX4	
A0A701K0F0	
A0A5W7EZC7	
A0A708E215	
A0A714CF88	
A0A701P4D0	
A0A701P8T6	
A0A636RW52	
A0A600FS21	
A0A737CQ77	
A0A648F4B8	
A0A5W5SJI7	
A0A3Y4XEL6	
A0A611VDF1	
G2HK92	
A0A708C460	
A0A714EKY2	
A0A4V6H985	
A0A636ZIN0	
A0A706M7C6	
A0A600BBC7	
A0A5Z7UNI9	
V9SIV2	
A0A705ZMP4	
A0A3Z5UIA4	
A0A714I3I1	
A0A609J025	
A0A5Y4V5V5	
A0A564XQ12	
A0A5X2WX04	
A0A705XUH7	
A0A736Q3K3	
A0A5W8ELM6	
A0A736Q144	
A0A5Y4VCQ3	
A0A6Y2T2Q2	
A0A701JUW9	
A0A3Y5UR16	
A0A701K8Z5	
A0A610AW40	
A0A620VYE4	
A0A707LUV3	
A0A701K4V4	
A0A736UZJ7	
A0A6Y4QF03	
A0A5W8LGU8	
A0A3Y1BRJ3	
A0A3Y1BRE9	
A0A5X4XRU7	
A0A725JDZ2	
A0A732YDA1	
A0A708J928	
A0A701K905	
A0A5Y4VET9	
A0A3Z1V4F8	
A0A1I9W6X4	
A0A736PZF5	
A0A5Y4VIJ6	
A0A1P8VUQ1	
A0A3U3XJ13	
A0A5X0DBV4	
A0A706FD77	
A0A708AHT9	
A0A607CET6	
A0A620W7S0	
A0A701K6F4	
A0A708P927	
A0A3Z1VCD8	
A0A741WT73	
A0A736Q3J5	
A0A709AS75	
A0A3V2S456	
A0A3U3XK17	
A0A5Z9WZD4	
A0A708EPE1	
A0A6Y1CG03	
A0A714HFH2	
A0A5W1QDJ7	
A0A701K535	
A0A3Z7WH98	
A0A3Z6KEF1	
A0A736UU11	
A0A635CIC9	
A0A767SFV2	
A0A714EUZ8	
A0A3Z5SVL4	
A0A701T3V1	
A0A3V6N6H2	
A0A5X3FHB1	
A0A5Y4VCS7	
A0A6X8VQY3	
A0A708JAA8	
A0A716Y6N6	
A0A077W4F1	
A0A3Y1BP81	
A0A385JK01	
A0A730X0T2	
A0A732JF28	
A0A5Z8ACG8	
A0A648F4G9	
A0A5Y4VBG5	
A0A3Z1V6E7	
A0A736Q3N5	
A0A3Y9YM81	
A0A5Z5YSJ7	
A0A5W7ET04	
A0A736Q5H9	
A0A3Z1VCA1	
A0A706KL75	
A0A6Y2TD80	
A0A736UY96	
A0A636DST0	
A0A701K6A6	
A0A5Y4V619	
A0A736V031	
A0A611B900	
A0A3Y4SMG5	
A0A5Z8AEN3	
A0A615DSS2	
A0A5Z6NBK6	
A0A767XA28	
A0A630MNM4	
A0A617IM75	
A0A637RE69	
A0A3Z9C1H3	
A0A3U0CHB0	
A0A753C4M0	
A0A618EZI0	
A0A708PZP1	
A0A601Z5P5	
A0A3Z7WBZ2	
A0A5Y4VDP8	
A0A707XBY4	
A0A731U9W8	
A0A5Z9X6V6	
A0A730WS58	
A0A708E4H1	
A0A708DFD2	
A0A736Q7I5	
A0A730ZZ53	
A0A5W5B5T1	
A0A5Z8AH58	
A0A5Z8AHZ4	
A0A736V0Q0	
A0A3W0MGH1	
A0A077W664	
A0A5X8NL15	
A0A606FU70	
A0A5X3M168	
A0A701P7D5	
A0A3Z7WPI0	
A0A701T686	
A0A730N9W8	
A0A725ESI4	
A0A0H3VYP3	
A0A728I5J3	
A0A707QIB5	
A0A5W3G1Y6	
A0A5Y4VAY7	
A0A5W4ZXM6	
A0A0G3B290	
A0A701TCW8	
A0A3Y1BRD1	
A0A5W2GYW8	
A0A3Y5YG84	
A0A4P3HLX3	
A0A708ANT3	
A0A5W1G7X0	
A0A3Z1V1X9	
A0A729M1D8	
A0A714EXX6	
A0A5Y4VBE1	
A0A5W2GYW0	
A0A730X0W1	
A0A3V5ZWD0	
A0A455ZVK3	
A0A636RK23	
A0A708E4B4	
A0A3Y4SGH2	
A0A707PE37	
A0A5W5Z1J8	
A0A708A7S8	
A0A701NZ52	
A0A5Y4V980	
A0A709LYQ9	
A0A5Y4V7W0	
A0A0B7J584	
A0A5X1VQX6	
A0A3V5ZU89	
A0A734IDK6	
A0A5Y4VE95	
A0A701JZY6	
A0A602C573	
A0A701JYP1	
A0A710HH17	
A0A5W7EXH8	
A0A707XDI2	
A0A714HTR6	
G9CAC1	
A0A5W8K4G9	
Q5QJF9	
A0A706BQJ8	
A0A3Y8IB51	
A0A709KZL5	
A0A701ZM11	
A0A707I5E5	
A0A737T3R5	
A0A708DXZ6	
A0A731YXU9	
A0A5Y0KID3	
A0A4P3HM19	
A0A707TSX8	
A0A0P0CFI4	
A0A741XAZ6	
A0A3Y1BQ65	
A0A3V5ZVD5	
A0A714G9C0	
A0A701K1T1	
A0A626C920	
A0A5Y4V9U0	
A0A3U8HV34	
A0A767RWQ5	
A0A5Y4VBB1	
A0A3Z1V9M0	
A0A5Y4VBF4	
A0A5Z6DLU7	
A0A603KER7	
A0A706EQ85	
A0A602C719	
A0A708QKX3	
A0A5Y4V7F3	
A0A6Y4C973	
A0A5Y4VHI1	
A0A707I7Y4	
A0A708DYX3	
A0A701X447	
A0A701P5V3	
A0A708PIV3	
A0A741X5Q8	
A0A3Z5T153	
A0A701K8N4	
A0A3Z1V0N7	
A0A3Y4QSG5	
A0A727MFV9	
A0A701T561	
A0A708E5Z3	
A0A706ITP5	
A0A731UDD3	
A0A5X8ET84	
A0A737KXK5	
A0A701NF48	
A0A740DRK9	
A0A706T800	
A0A701K2J8	
A0A3Z1V2U6	
A0A3V2KXT9	
A0A3U0CJC6	
A0A5Y4VBA2	
A0A600TR28	
A0A731Z107	
A0A5W4T799	
A0A736Q155	
A0A5Y4VBB9	
A0A5Y0MF93	
A0A5X8F4H6	
A0A620W1L5	
A0A626E7I0	
A0A701P0J2	
A0A701NZU5	
A0A5Y8ERM7	
A0A5Z6N728	
A0A714F3N6	
A0A3Z1V9E1	
A0A3U3XJ59	
A0A736PYG6	
A0A708R1A4	
A0A706KLC0	
A0A606G1R6	
A0A736Q5D5	
A0A708AHF2	
A0A708E606	
A0A731WPL2	
A0A737Q0Z5	
A0A701Q329	
A0A727NM87	
A0A708A3D4	
A0A701P2R9	
G9CB18	
A0A701SY83	
A0A5W2GZ21	
A0A5X7MH65	
O34177	
A0A603M9B3	
A0A6Y6EFX6	
A0A504U1W2	
A0A701IQ04	
A0A5W1NFA5	
A0A716KR31	
A0A5W2KKS1	
A0A708D5B7	
A0A701JVU1	
A0A606FXL0	
A0A0H3VWQ7	
A0A708PJP6	
A0A701NFI4	
A0A701K9Q1	
A0A701JYB7	
A0A3Z3Y7Q7	
A0A3Z7WBH4	
A0A3Z7WGI2	
A0A707XL87	
A0A3V6GRF6	
A0A736URP4	
A0A5W5ZB53	
A0A708DZD5	
A0A5Y4VCL6	
A0A5Y4V648	
A0A5W7P2D5	
A0A709GRH0	
A0A077W5R5	
A0A708JBC6	
A0A3Y9YTC8	
A0A3Y1BSS7	
A0A5Y4V9M2	
A0A708BV55	
A0A4U8KB86	
A0A704RWC3	
A0A0E3MTR3	
A0A6Y4Q2T9	
A0A706RC62	
A0A631L066	
A0A704VUT9	
A0A708E3M4	
A0A5Y4VEX0	
A0A5Y4V7S9	
A0A708P092	
A0A727MSM1	
A0A385JJU7	
A0A6Y2XJB6	
A0A3V4WZ32	
A0A5Y4V842	
A0A5C2CV34	
A0A709UDL2	
A0A706T1N1	
A0A620W4R5	
A0A767UFQ2	
A0A3Z1V8Z6	
A0A767RQU6	
A0A706AHB3	
A0A713GA83	
A0A714EYB6	
A0A714ERU2	
A0A5Y4VAC5	
A0A0A7CVK3	
A0A6Y2INB7	
A0A3Z7WCG1	
A0A5W5CUD8	
A0A710GB19	
A0A5X1VR82	
A0A631BGM4	
A0A707XUN9	
A0A701LHJ6	
A0A707UXY0	
A0A767RWD2	
A0A701KB30	
A0A5Y4VED6	
A0A5Y7CC43	
A0A708A1M2	
A0A714F710	
A0A3Z7WC27	
A0A3U8I0B8	
A0A737AAE9	
A0A701CS87	
A0A0P0CJ43	
A0A708PGB8	
A0A708G2Q8	
A0A706ZTZ5	
A0A2U8ZVZ1	
A0A5W9YN33	
A0A736UXD5	
A0A385JK21	
A0A3Z7JGT4	
A0A5X2GUU5	
A0A708YQE5	
A0A6Y3QJ71	
A0A708BWY9	
A0A706XM25	
A0A626FDP6	
A0A707ML40	
A0A3Y8IFC2	
A0A708AAC4	
A0A707XLB8	
A0A701M6X9	
A0A701P4S8	
A0A5V7DRU2	
A0A708PK00	
A0A701SYN2	
A0A4U8KQ78	
A0A3Y5UQD9	
A0A708ADQ8	
A0A6Y4QF16	
A0A708BYE8	
A0A708TQV2	
A0A3Y4XCM5	
A0A5V7LJP0	
B4F4I7	
A0A708PTL1	
A0A714EUJ7	
A0A707IC56	
A0A736Q3W4	
A0A3Z7WNT2	
A0A708CLG5	
A0A5W5ZVE4	
A0A5Y7BT48	
A0A634A5D9	
A0A3U3XJS0	
A0A637NEP4	
A0A741R4A4	
A0A710LRE3	
A0A734GIZ6	
A0A767W2N7	
A0A3Z1VBL9	
A0A639KUR6	
A0A731Z005	
A0A5W7DII5	
A0A4U8KUD3	
A0A701T1P2	
A0A626E764	
A0A708R691	
A0A710BZK3	
A0A601Z1H1	
A0A635X7Y7	
A0A702A8J4	
A0A3Z1V320	
A0A0A7D1C0	
A0A707XFJ5	
A0A5X7J4V2	
A0A706VUW5	
A0A701P0Z9	
A0A3U8I2H0	
V9SI86	
A0A729AQL4	
A0A603M6D2	
A0A3Z7JDP6	
A0A5W4YN52	
A0A3Z7WLU4	
A0A3Z7WEG3	
A0A735I397	
A0A701K1V4	
A0A706NND3	
A0A631RDE7	
A0A611X597	
A0A701K6N9	
A0A607X5A0	
A0A648F3I4	
H9L4G7	
A0A701JDQ0	
A0A0A7CRG8	
A0A077W2I3	
A0A622HCI1	
A0A611AK62	
A0A5X6JZI6	
A0A708CW39	
A0A707XG73	
A0A732JQI5	
A0A701SYM3	
A0A605QQC4	
A0A701KAR1	
A0A701JWZ4	
A0A706PIQ4	
A0A752L3B3	
A0A611PY57	
A0A737ZTB4	
A0A626E0H5	
A0A5Z8AHS9	
A0A701P4C7	
A0A6Y2P8G2	
A0A707FLD1	
A0A707N0C3	
A0A707XMC6	
A0A6Y2T568	
A0A5W9U943	
A0A1P8DMK3	
A0A714F2V6	
A0A710KTA7	
A0A714EVL2	
A0A708J7G5	
A0A736SXV3	
A0A3Z0FCB0	
A0A708XC62	
A0A707N2G0	
A0A618EZR2	
A0A708P853	
A0A6Y2INM2	
A0A639KVL2	
A0A701NZ50	
A0A730WWC8	
A0A706TDD4	
A0A5X8F2A3	
A0A707RZK4	
A0A767S2A1	
A0A5X1ZND7	
A0A5Y4VA62	
A0A708J5S8	
A0A3Y8IEA9	
A0A701K0G9	
A0A3Z5T3L3	
A0A708EC50	
A0A5Y0M710	
A0A707LZI2	
A0A713NRB6	
A0A708P5S2	
A0A3Z8HGC8	
A0A3Y3F668	
A0A617IPD6	
A0A708DD93	
A0A0G3B118	
A0A701KB42	
A0A5X8F2J6	
A0A710K4C9	
A0A5Y4VDI9	
A0A701P4H1	
A0A708E384	
A0A3Z7WMW1	
A0A767XHA0	
A0A708P7E9	
A0A6Y6IGE3	
A0A736PZX7	
A0A625M9H7	
A0A601NLJ3	
A0A6Y2XEW3	
A0A701P0T5	
A0A5Y4VF22	
A0A706ZMQ6	
A0A603ZDL9	
A0A0G3B6B0	
A0A706Y1Q8	
A0A706RIS0	
A0A731VTT1	
A0A736Q506	
A0A3U0CS32	
A0A707GBX9	
A0A707JVR0	
A0A736WEV5	
A0A0P0IEL6	
A0A701K4G3	
A0A3Z6KEG6	
A0A707EY60	
A0A5Y4VL23	
A0A621SNV9	
A0A701PXG0	
A0A714I8E8	
A0A5V8X600	
A0A3Z7UXD0	
A0A708AHX2	
A0A726NZR5	
A0A708A2A6	
A0A636B1V9	
A0A3Y4XBU3	
A0A5Y4V7N2	
A0A3Y9YPZ8	
A0A707IGJ1	
A0A707V666	
A0A1P8VUJ8	
A0A708ADW8	
A0A5V7U7Y8	
A0A620W5L9	
A0A710SF77	
A0A611DGW1	
A0A3Y4SIW4	
A0A706RPA8	
A0A3Z7JG50	
A0A610Z8G1	
A0A3Z7WCD1	
A0A626G500	
A0A3Z7WNM2	
A0A707MXX2	
A0A3V0JB42	
A0A3U8KUN5	
A0A5V7WJS6	
A0A707XMB5	
A0A708PLC9	
A0A5Z8SI61	
A0A3Z1V7N5	
A0A3V6RIV8	
A0A5W6NAH5	
A0A5X6JRZ0	
A0A615ES61	
A0A3Z9QNJ1	
A0A5W6KTR3	
A0A5Y4VAG0	
A0A603ZJH4	
A0A701P1F1	
A0A5H3W627	
A0A707XJ01	
A0A0B7J1Q2	
A0A627PDI4	
A0A564XNB2	
A0A713D863	
A0A5Y4VCR2	
A0A634W1V6	
A0A624BBT3	
A0A3V9IVJ4	
A0A708TEX3	
A0A3Z1V8U1	
A0A708AMB6	
A0A736UW80	
A0A767TNH9	
A0A3U8I4U4	
A0A3Z7WFI0	
A0A5Y4VIS7	
A0A5W5ARU8	
A0A3Z6KEI3	
A0A708P8P7	
A0A715XUH3	
A0A701K153	
T2HVD8	
A0A709BFA9	
A0A3Z7UWN7	
A0A631ZS21	
A0A5W8WDW0	
A0A4U8KHQ6	
A0A708BZM6	
A0A5Z8AGQ5	
A0A713KN81	
A0A636NEW5	
A0A5V6UIR4	
A0A736E9J7	
A0A5Y0GTX1	
A0A5X0IAP9	
A0A605QM94	
A0A730CSJ0	
A0A712M3X6	
A0A5D3NBX7	
A0A5V7WIZ2	
A0A626FQ87	
A0A708AEY9	
A0A3Y4SLY1	
A0A6M3N560	
A0A708E018	
A0A634QZK4	
A0A611G464	
A0A6Y4C1E6	
A0A611VCY9	
A0A707TW23	
A0A708P9Y9	
A0A4U8KU12	
A0A5Y4VFK7	
A0A3Z7WD36	
A0A611BIA6	
A0A077W256	
A0A708TD22	
A0A701P5E1	
A0A708P460	
A0A736SW70	
A0A601Z396	
A0A5Z8AR43	
A0A0P0CJ24	
A0A708A9E6	
A0A5Z6TW62	
A0A5Y4V722	
A0A5Y4VAU7	
A0A5Y4V5P0	
A0A626E5Q4	
A0A701K5P2	
A0A728B475	
A0A731QMH7	
A0A5Z8AMB9	
A0A704RWN1	
A0A732P3S3	
A0A740MHX2	
A0A634WPP9	
A0A701X446	
A0A3Z1V7L9	
A0A3Y0XSX5	
A0A6Y4C6U5	
A0A3Y5UQM6	
A0A730WPI3	
A0A611XT69	
A0A618CXJ8	
A0A5Y4VH28	
A0A5Y4V5K4	
A0A5U8V811	
A0A6Y4C7L4	
A0A701KAY5	
A0A706D172	
A0A385JLV9	
A0A738EIW7	
A0A609RWG1	
A0A5W6Y441	
A0A634AK19	
A0A3T5ACR3	
A0A5Y4V6T3	
A0A708PN55	
A0A5W4Z876	
A0A5V6A207	
A0A708C222	
A0A5Y4V5F5	
A0A709CX50	
A0A605QP31	
A0A630MRT7	
A0A648F5S1	
A0A5Y8EQ65	
A0A707EY71	
A0A708P9S9	
A0A701K8V1	
A0A6Y1KII1	
A0A5V9DY66	
A0A5W1NLA5	
V9SF83	
A0A3W0MQW9	
A0A3V6A445	
A0A731VYU6	
A0A5X1ZSA7	
A0A701P3I8	
A0A637VNN1	
A0A5Y4V9Z2	
A0A077W236	
A0A714E6F1	
A0A5X9GJV7	
A0A0G3B5G0	
A0A5Y4VEE5	
A0A701P7L2	
A0A710ADS3	
A0A0P0BTM3	
A0A708J3B2	
A0A3Y3SZ53	
A0A5D3R073	
A0A732NUP3	
A0A708E5G7	
A0A707DB02	
A0A385JLK4	
A0A710W1Y0	
A0A3V2RYA0	
A0A3Y4X3Q9	
A0A708A964	
A0A3Z1V0L5	
A0A707YRQ3	
A0A3Y5YAS1	
A0A767SEI7	
A0A705YXQ3	
A0A3Y3SQ97	
A0A564XUP5	
A0A737X299	
A0A714EWA6	
A0A701NZM2	
A0A3Y4SHF2	
A0A701P5M8	
A0A611X4M6	
A0A224ADB0	
A0A600FIA8	
A0A737PTZ8	
A0A5W8UX14	
A0A701K1N9	
A0A077W4R2	
A0A3V5ZXB7	
A0A707XJG1	
A0A0H3VUA9	
A0A611VBM3	
A0A5V6I006	
A0A701KB40	
A0A3Z5SV04	
A0A605QFL0	
A0A714EL91	
A0A707HT16	
G9CB99	
A0A3Z7WBZ6	
A0A706Y7X0	
A0A3Z1V889	
A0A5Z8AJ32	
A0A5Y0GSY9	
A0A701R6U2	
A0A636RW44	
A0A713F5Q1	
A0A736Q1T9	
A0A627S4A8	
A0A701JVL2	
A0A5U0E3E4	
A0A620W0P5	
A0A4U8KYJ2	
A0A3Z6KK19	
A0A3Y4X8R7	
A0A5Z6TWD0	
A0A5X2ZWD9	
A0A5Y4VCD1	
A0A701CZF1	
A0A708CDM0	
A0A5Z6TP60	
A0A611V7J4	
A0A708CMH9	
A0A3Z6KEF7	
A0A455ZMG0	
A0A609RLV3	
A0A5V8ZAG9	
A0A708E110	
A0A708DNF3	
A0A701JYG9	
A0A077W6C0	
A0A701K9R6	
A0A3W0MPI5	
A0A5X6SL70	
A0A701JW03	
A0A3Y8I685	
A0A708AFZ5	
X2IZY1	
A0A708E0M9	
A0A731WJ00	
A0A8A8T061	
A0A5Y4VHW7	
A0A636ZXU3	
A0A708R1Y5	
A0A5X2UIY0	
A0A077W636	
A0A708E727	
A0A741C142	
A0A620W7G5	
A0A708PFW3	
A0A5W4TB48	
A0A701K9M0	
A0A701P3E1	
A0A707XLN8	
A0A0H3VUJ2	
A0A701JY93	
